,0
0,2984633637
1,1450238693
2,1802053112
3,2966392297
4,894365097
5,1041521916
6,3808889242
7,2628924261
8,1981423154
9,1479647175
10,2615182377
11,937002057
12,2253659102
13,221950932
14,841325449
15,1925107530
16,949883371
17,1187449406
18,2659340219
19,547777287
20,1705446363
21,207712262
22,2369398556
23,2290018737
24,2250853029
25,3003204555
26,1845473359
27,2187666125
28,4286327756
29,2512034629
30,1553562314
31,2666106326
32,1695907664
33,3427506972
34,4164077909
35,4190784751
36,2361754072
37,2066055937
38,1211566514
39,1756270631
40,2958710924
41,490868899
42,3894561533
43,2787127331
44,3727304814
45,1819009391
46,302210996
47,1417822563
48,2492871046
49,2069389472
50,2277904309
51,1648829893
52,3183081913
53,2633736965
54,658470755
55,965341337
56,1587082667
57,3608360803
58,2964518268
59,3337478475
60,3008013421
61,4124746049
62,1122160888
63,241098498
64,1510885460
65,1084039410
66,2603126142
67,2399939358
68,2592642759
69,3310138076
70,1641085214
71,2644452383
72,3270857293
73,3171612326
74,3203478533
75,3297512113
76,2650657727
77,2624711985
78,433790059
79,979597905
80,3974489512
81,100906044
82,3862051869
83,1161130889
84,3552595535
85,4284284326
86,4091322965
87,721903372
88,1155674937
89,3193560817
90,180757106
91,869259091
92,2052006375
93,561761019
94,2914741241
95,933026440
96,2662837287
97,2695209603
98,2879896295
99,3619937759
100,3751001629
101,841784384
102,2806643893
103,1099281216
104,2938311327
105,318914152
106,2546919574
107,3064834029
108,53611487
109,741510134
110,860384941
111,406623657
112,497615986
113,1889773089
114,345073146
115,2340792409
116,3555059717
117,1623119887
118,2447241305
119,1811738716
120,3610122071
121,2796524006
122,365614051
123,1986372206
124,3933393221
125,2555428786
126,3103868032
127,1852471827
128,1051900792
129,1155725881
130,233097949
131,898161552
132,1894844626
133,3764809924
134,4291215942
135,3970660856
136,3686231605
137,4098440334
138,2113080500
139,2753937293
140,4189631818
141,987846192
142,1376398806
143,226094031
144,2179656646
145,1816855905
146,3689567014
147,447236185
148,1064863921
149,794057426
150,1001029093
151,3892427887
152,3469994069
153,3885019592
154,3124742119
155,2211637102
156,2210112842
157,3112198888
158,49375973
159,4029596783
160,3231060719
161,752415003
162,3771508100
163,3484495195
164,2113151388
165,1914651472
166,1811644146
167,4051881192
168,3419203936
169,1510684455
170,1994097649
171,3647457387
172,4070635526
173,3191070085
174,4273074579
175,343709390
176,1112077988
177,3849396402
178,507586968
179,1223060853
180,1238891939
181,4030777216
182,2127133428
183,2657957550
184,1028142980
185,3139899702
186,3314380210
187,277864424
188,1479961203
189,938249337
190,2803077878
191,2175940166
192,3567624211
193,1796827098
194,446014925
195,1404643310
196,2355823031
197,2774768335
198,622279547
199,3288071863
200,1251506122
201,3694674923
202,1471234409
203,49261264
204,1607677975
205,710084909
206,2635901528
207,1035109283
208,2085169863
209,3313544120
210,2229724184
211,3179285429
212,2820746862
213,3655266547
214,3644488711
215,3511234851
216,248757214
217,3575181202
218,1933258656
219,602687701
220,1792478137
221,1447088335
222,3893228981
223,3927572020
224,2445222206
225,1924221040
226,890497755
227,3840701208
228,242077899
229,1744116886
230,2609991049
231,303991542
232,1498631806
233,386801933
234,914094660
235,8259153
236,1456624706
237,1065522682
238,2432375522
239,1339731570
240,2866493086
241,96323818
242,2075780794
243,590602756
244,3448763245
245,2065119494
246,300372796
247,1144132618
248,468697971
249,3746718428
250,3589029539
251,4010474504
252,138232864
253,2659942282
