,0
0,8374
1,8270
2,3551
3,6751
4,2764
5,2684
6,3783
7,9431
8,9814
9,6059
10,9699
11,7860
12,4934
13,8162
14,9742
15,4566
16,6053
17,1949
18,1907
19,7392
20,9315
21,90
22,7233
23,1503
24,3467
25,1757
26,6854
27,8492
28,846
29,5446
30,3391
31,344
32,5573
33,3609
34,8094
35,6464
36,9958
37,369
38,7789
39,8850
40,5222
41,9066
42,2909
43,3556
44,8367
45,7853
46,2589
47,5209
48,44
49,433
50,9714
51,5858
52,6707
53,9581
54,6166
55,7296
56,8161
57,2423
58,2905
59,8237
60,5151
61,8585
62,8673
63,9722
64,1599
65,2711
66,9177
67,2543
68,2836
69,4353
70,8861
71,8990
72,6020
73,8976
74,5344
75,6759
76,8988
77,1779
78,530
79,2486
80,419
81,4300
82,340
83,1612
84,898
85,7733
86,5853
87,5462
88,1335
89,6144
90,1477
91,9855
92,1069
93,8561
94,995
95,616
96,8080
97,3729
98,3658
99,243
100,3878
101,1805
102,6614
103,4773
104,9538
105,1431
106,9212
107,4294
108,2350
109,5248
110,899
111,9377
112,7966
113,8285
114,2746
115,3144
116,4408
117,6862
118,8969
119,1880
120,2745
121,7341
122,737
123,5391
124,6308
125,1021
126,4157
127,1876
128,4341
129,7492
130,6522
131,1908
132,3034
133,2789
134,8833
135,5252
136,2735
137,6546
138,9855
139,3225
140,1386
141,2924
142,3062
143,3395
144,7224
145,2557
146,4077
147,7638
148,7794
149,2103
150,9875
151,8361
152,2837
153,199
154,6904
155,1111
156,8396
157,1249
158,5445
159,2539
160,5157
161,3783
162,4148
163,8130
164,8434
165,4051
166,5648
167,6203
168,4731
169,8644
170,6458
171,3113
172,349
173,4312
174,3705
175,5368
176,5372
177,2869
178,1824
179,1019
180,3054
181,6056
182,2067
183,5572
184,6914
185,9196
186,6317
187,2354
188,8700
189,9691
190,2304
191,8370
192,2609
193,5772
194,4151
195,4458
196,6515
197,8164
198,1287
199,9180
