,0,1
0,9787,6932
1,617,7362
2,7153,8786
3,3846,1195
4,7853,4780
5,4318,1975
6,6370,6825
7,5680,5909
8,2865,3890
9,3169,4019
10,4423,7470
11,2003,5347
12,3409,9842
13,9546,1771
14,5624,7471
15,4737,3722
16,4300,5958
17,245,3393
18,2038,3672
19,1192,2463
20,7483,129
21,8504,2708
22,1664,8972
23,5569,55
24,6123,357
25,7199,9826
26,1285,7956
27,2657,2528
28,8749,3580
29,1557,8779
30,7923,9380
31,8899,1994
32,7947,2717
33,7992,3078
34,3897,7421
35,6004,5581
36,3091,8022
37,3498,9613
38,3690,4697
39,9411,9541
40,3924,669
41,6333,6286
42,8279,1366
43,430,533
44,6438,5830
45,4374,9525
46,1068,9368
47,5679,3907
48,6925,3955
49,979,1358
50,5808,4377
51,5566,6670
52,6526,855
53,1474,9250
54,6450,8131
55,1581,81
56,5439,754
57,3303,5043
58,9749,4418
59,421,293
60,1405,9686
61,2748,8885
62,9115,3725
63,2297,9715
64,1564,9031
65,1010,8213
66,668,5869
67,645,3800
68,837,9349
69,5568,177
70,2863,6106
71,7686,3095
72,9325,4017
73,7733,9105
74,5671,5043
75,5707,1934
76,1484,1144
77,6304,3016
78,8672,2731
79,7323,9151
80,3805,5746
81,9938,1641
82,7083,9258
83,8072,5118
84,646,5595
85,2539,7438
86,7808,447
87,677,7483
88,6051,619
89,5174,5935
90,5837,8296
91,7894,3568
92,8249,8645
93,1787,7640
94,4258,8325
95,4062,2138
96,7347,6899
97,5885,6529
98,575,4401
99,7201,8799
100,9033,1519
101,1966,2188
102,71,8645
103,7955,3197
104,7742,4432
105,4149,602
106,2667,1250
107,2179,3006
108,1643,6143
109,9974,8931
110,2528,2414
111,1954,1743
112,8156,8393
113,1461,1371
114,6463,3991
115,8417,5670
116,1528,3133
117,4047,5891
118,2888,6296
119,4082,7450
120,2044,4184
121,8322,2277
122,7316,3986
123,5188,6867
124,6548,5547
125,5974,9958
126,9860,749
127,6123,6700
128,5297,1294
129,2599,5372
130,4149,5215
131,1785,9156
132,8289,2887
133,8358,5349
134,5201,4524
135,6329,961
136,8702,1928
137,9615,3231
138,4096,2254
139,7847,6474
140,2551,2541
141,9,4782
142,19,3057
143,5131,4542
144,279,2421
145,819,5446
146,967,4003
147,1564,3104
148,1667,5041
149,9601,3474
150,9846,9215
151,2588,10
152,4366,9509
153,7828,5877
154,13,5973
155,3029,5770
156,2944,1506
157,5545,9568
158,3759,7691
159,5463,5565
160,1392,1612
161,1598,9591
162,7687,4645
163,369,8858
164,6307,4033
165,5650,3541
166,859,7126
167,5523,1315
168,9910,57
169,2137,8056
170,5686,546
171,1514,2648
172,4362,1132
173,5605,5572
174,520,9958
175,1910,2964
176,9733,3577
177,4637,4730
178,218,7943
179,3198,9051
180,8463,3930
181,7347,9945
182,9216,1076
183,3116,8868
184,7804,2440
185,8488,3231
186,6509,756
187,2069,3058
188,476,5894
189,8728,3233
190,9101,3317
191,6686,266
192,8974,6798
193,5925,472
194,5821,3107
195,3480,9126
196,4383,5768
197,2489,6446
198,2980,5880
199,9547,9600
