,0,1,2
0,6573,5281,181
1,8975,7899,5522
2,8498,5823,7713
3,3609,2744,7823
4,9318,1345,107
5,5249,4403,8602
6,1478,3562,2729
7,2201,8213,2070
8,3774,9940,7428
9,98,2239,6180
10,1979,9177,5398
11,3026,6987,1399
12,3354,9627,5651
13,6595,1337,7704
14,3450,3997,3765
15,8820,8537,8227
16,4870,2475,4863
17,8840,5161,8118
18,3965,9209,9997
19,484,6292,186
20,4499,7930,9564
21,5492,3257,7023
22,5301,1605,3495
23,3934,2448,175
24,4885,5644,4636
25,1368,5705,980
26,3005,9720,4018
27,5570,5031,243
28,5743,5619,8984
29,9516,927,2633
30,7395,905,5471
31,3957,5667,3385
32,4113,301,8007
33,1948,1283,7248
34,660,624,1552
35,2186,6336,33
36,1293,3835,528
37,2800,6350,4170
38,1290,8550,386
39,4823,5719,7130
40,9264,9591,7572
41,5295,7916,1085
42,3214,1933,7166
43,5270,9184,9592
44,7723,6215,5734
45,4713,3622,1840
46,6193,8840,9048
47,2650,6987,6028
48,4452,4336,6020
49,7280,7070,4155
50,7259,9396,945
51,3201,2010,4538
52,9546,5254,6517
53,3403,6908,7157
54,8207,5901,9207
55,4297,2616,1522
56,6693,4825,5467
57,8345,6639,2888
58,7822,408,6133
59,7071,8402,3960
60,1774,8843,7861
61,4482,5824,5405
62,6127,4926,6877
63,835,9555,2945
64,6525,6158,7214
65,1700,4788,9880
66,268,7846,727
67,6123,1102,9277
68,2254,1650,7731
69,1595,3113,852
70,7343,8047,4456
71,8735,8216,9590
72,3367,2221,1179
73,4684,1477,393
74,3739,9870,3526
75,2800,7481,3163
76,9989,4992,9027
77,3152,1939,5051
78,9311,898,2599
79,6367,3748,7217
80,9755,6409,9150
81,3272,1155,8286
82,9006,4619,9528
83,1676,8418,4844
84,8977,9401,1481
85,3655,2112,2801
86,1516,8774,4275
87,934,2107,483
88,363,7609,6583
89,6909,9286,6261
90,3089,3368,6029
91,8060,8185,264
92,5085,6224,1085
93,7331,4802,3272
94,7725,8622,321
95,301,4759,9731
96,5573,9426,4428
97,5735,2708,390
98,7141,8071,1982
99,6303,6072,8503
100,7089,254,3418
101,2644,4532,4294
102,938,835,9587
103,7872,4370,3234
104,5399,1148,6317
105,1038,390,2325
106,4638,2013,4163
107,6114,5122,502
108,1254,4142,3737
109,9669,6099,7705
110,980,1611,3274
111,2207,9356,5001
112,5880,9295,9409
113,967,9445,582
114,3229,7023,1474
115,4681,801,4144
116,7625,3634,1417
117,1766,681,5237
118,4009,4567,5741
119,7128,3913,9261
120,6603,5668,8863
121,3879,2466,5711
122,658,4272,7776
123,6552,1500,4045
124,8647,7269,9991
125,8084,6087,3630
126,8407,3310,5861
127,9169,4071,1266
128,7903,612,2895
129,4947,6568,7634
130,7344,1101,9764
131,8683,3488,625
132,3733,5283,4774
133,3944,989,9782
134,1964,3618,4242
135,586,9937,75
136,6130,4396,5270
137,9780,565,4374
138,9569,8786,8270
139,221,6056,1413
140,4725,686,9689
141,6575,108,8846
142,4966,1222,2884
143,6192,2058,4275
144,8412,5539,6371
145,3591,5666,8016
146,1686,3285,7168
147,9220,3214,8997
148,7910,5684,8593
149,3137,5416,6617
150,2809,7299,9475
151,1852,8041,6420
152,2039,4639,8109
153,3876,1984,5359
154,3184,2048,3489
155,9917,6355,9638
156,6745,6949,483
157,4194,519,6051
158,9661,2397,8578
159,1229,3848,1071
160,1894,7579,3595
161,6068,4509,3046
162,5979,5331,2502
163,5273,703,5065
164,2505,3664,3269
165,231,4150,9506
166,188,4754,6325
167,2083,7722,7745
168,1649,9251,1616
169,2900,2361,2571
170,405,6999,7660
171,262,7818,5284
172,4218,6240,5526
173,5051,5549,7740
174,9277,3752,2737
175,5851,7487,6132
176,8725,503,1353
177,5113,9012,3287
178,5382,5748,4012
179,5201,4990,2692
180,7934,9007,8279
181,989,507,3486
182,6001,4600,6465
183,5977,6927,2737
184,469,2401,889
185,8503,2935,3428
186,2636,3561,4750
187,6336,8599,7379
188,7054,9498,7604
189,8605,7596,5191
190,2717,4665,5769
191,1989,2754,1292
192,5547,1325,3782
193,3476,1738,5418
194,2985,9547,8314
195,2190,3770,4396
196,4411,8500,8830
197,6234,5132,4861
198,1529,7124,4472
199,5741,142,7320
