,0,1
0,1240,2478
1,4186,1058
2,4803,274
3,4122,241
4,974,2728
5,2601,4834
6,4354,3667
7,3258,3978
8,4343,602
9,4116,1673
10,311,301
11,2525,2622
12,3585,1796
13,1200,1160
14,1959,3299
15,3461,2358
16,1180,1884
17,2237,547
18,2236,140
19,1527,2858
20,4378,170
21,3044,3973
22,808,2536
23,4071,2436
24,2863,924
25,207,4176
26,986,4057
27,4110,2286
28,429,1552
29,334,1631
30,278,3425
31,4467,3021
32,1619,4185
33,2836,4330
34,2848,162
35,1273,2
36,1184,564
37,687,1385
38,4406,49
39,636,3235
40,992,4442
41,3985,4352
42,2708,2825
43,934,4349
44,4807,1353
45,3639,3455
46,1248,723
47,3741,88
48,1930,1616
49,2904,1629
50,4627,2278
51,2047,2181
52,3507,1909
53,2944,622
54,2935,4383
55,983,4228
56,4460,2466
57,2215,4468
58,3355,2457
59,4362,4482
60,2296,4927
61,4427,478
62,1309,4885
63,1202,868
64,2149,3462
65,4159,4649
66,2069,3614
67,664,2532
68,2829,3530
69,2238,788
70,3115,2231
71,4839,4794
72,4172,1517
73,1816,1279
74,3597,4769
75,2175,4064
76,1623,1272
77,984,894
78,825,3347
79,3103,2969
80,1795,1541
81,4774,3857
82,3438,339
83,569,1478
84,4434,2776
85,494,3348
86,2207,3398
87,4578,4316
88,1319,1486
89,754,2688
90,693,2191
91,1401,589
92,3178,1041
93,4636,2679
94,1963,2838
95,4422,1498
96,762,1510
97,1822,857
98,2279,276
99,3197,1428
100,4068,1198
101,2616,3321
102,1214,624
103,1332,1586
104,2907,933
105,3935,895
106,4887,2458
107,2890,2685
108,3065,2782
109,4878,2157
110,2,1451
111,2108,3155
112,2260,612
113,2919,1876
114,1883,3546
115,2341,2950
116,3688,4651
117,106,4618
118,1915,4222
119,1911,656
120,3889,4724
121,2886,2500
122,3364,907
123,660,421
124,3127,4750
125,3459,304
126,2350,3513
127,3438,4589
128,116,1688
129,4948,1404
130,4071,246
131,3697,1724
132,3396,3880
133,319,2904
134,3891,3620
135,4402,4998
136,3312,3239
137,3381,1171
138,4593,4657
139,2003,3098
140,4598,1804
141,4335,986
142,1462,1780
143,1,2421
144,1474,1595
145,3033,1420
146,2363,1650
147,1341,1721
148,3169,3507
149,4030,3285
150,489,1094
151,1987,4198
152,3970,3664
153,1607,2761
154,3948,1062
155,47,3789
156,3708,4873
157,1514,3095
158,3047,4902
159,3650,547
160,2841,2042
161,339,648
162,4967,177
163,4541,1503
164,4263,3219
165,1373,2970
166,4379,4629
167,3702,2750
168,1416,4278
169,91,3556
170,1792,2523
171,1334,750
172,1984,1121
173,4094,2622
174,3806,2845
175,3934,1992
176,4437,2083
177,324,741
178,2555,2768
179,1266,4761
180,1662,1269
181,664,2916
182,2311,709
183,1836,4736
184,3888,603
185,2750,4240
186,2901,2839
187,2202,4542
188,225,3529
189,4206,3362
190,1744,4517
191,3828,36
192,3762,1179
193,1989,574
194,45,4793
195,3586,2404
196,2419,1748
197,3166,1274
198,2126,3789
199,3633,2738
200,520,3117
201,499,1273
202,2470,2100
203,14,3962
204,2883,424
205,990,2568
206,1747,1790
207,4666,2997
208,1280,497
209,2518,3168
210,2188,4501
211,4392,2261
212,1819,2922
213,3620,1142
214,1154,2122
215,1040,4919
216,1924,3483
217,48,2024
218,4507,2382
219,1181,1089
220,157,2176
221,572,1804
222,383,2869
223,1470,3795
224,4059,3208
225,4089,839
226,4812,4368
227,3044,1004
228,1868,3130
229,1178,401
230,1839,2214
231,1386,3127
232,1542,878
233,2079,823
234,2442,4033
235,3376,1231
236,1192,207
237,832,1832
238,4086,3710
239,349,3600
240,3768,4052
241,262,153
242,3452,3759
243,1015,4168
244,1398,3655
245,2212,3008
246,239,2075
247,2624,4554
248,3081,1538
249,1801,3877
