,0,1,2,3,4,5,6,7,8,9
0,1517045587,153046990,2194180603,2393384369,1664601857,2283845136,494975333,3182595392,1980834789,3539067656
1,1105519495,3659805917,1694167096,1065668385,1370196224,4120649235,2367717137,1324135627,3767692738,4132868659
2,3641613978,540015407,366039946,1234193702,3657214544,3339479761,3486152914,897363983,3956785056,1208776459
3,3149527166,3603737566,2963463855,570407166,1937756706,783638443,2287759363,3922755792,1403283784,1894832095
4,2097703811,1067111838,2042062351,1222538585,3173644632,3742146327,3557105446,2863404861,3091940326,2010093644
5,1147995735,745764525,1704326463,2204613813,464849265,2886350227,81661842,2043745053,2692173705,3931854752
6,3271999518,4049409469,1531645729,3263367646,1756084643,118647927,1915193730,1737881535,1757159231,3533399131
7,1335026562,2550999396,2301688245,1380846823,2896865665,1287711523,2834109185,1210648940,1476182229,1185149049
8,2068726908,3271387436,3104098693,3531331542,415200362,1232972676,4125842978,3446175074,972374358,3937137031
9,2601150654,311336245,1826215579,3300584322,1641165627,1181449783,1624613437,1205679894,2487737525,231974569
10,2834542975,3197697234,3828547519,768296516,2026218865,2721006986,3370145236,1681188334,1076713744,3359795795
11,4104137058,929259750,1821550612,1865124926,1957368736,1824705673,2631763880,1397641327,59706111,2988570844
12,1050436972,583625026,2438141437,1400806442,3818038200,3053658803,2526677503,1889257630,4154265807,3077090926
13,4195510498,3763910025,3899304535,2881039851,3446580992,177993238,3257279160,927423804,1617576375,1009876091
14,2682635652,885796912,2136397119,3311095372,498458431,1238627695,3091218242,2083091315,1698986425,2244753133
15,1845002950,1987587352,4289235360,1886061457,1370776016,231774087,2369960229,2339079646,2922227241,186683136
16,861251707,1592189615,1270406929,2256890451,3947749746,3342910234,3570907765,4191504836,1513632643,3258102606
17,1463970489,2640893973,3304303252,2477318828,2764726442,1004338397,3510857639,2558393064,300422434,1829586408
18,3399699919,370737898,4217287516,3653783455,3329971638,1228318047,3320820851,3396379728,3124084366,1367927808
19,116674158,2498009101,3768058882,182774187,484507290,1126300896,2464339083,3546386406,2592975188,977114604
20,1454843985,954281256,1270879567,2672253304,3363416506,704538181,1864014972,1592822984,2538173618,1188103813
21,658170936,3440798467,1432467318,1700145595,240827543,587670497,3219845784,4126446136,2228385796,1477328380
22,2872777845,744430867,3418096721,1187831372,2065165497,2338348123,1405733847,2200780540,332529620,2571677
23,1870081773,4113315231,86672238,3494261617,1614254900,427802407,102302961,2087338946,3120864874,538136622
24,3186754281,1166801881,4195137820,629126972,3136565590,2007270310,1700143212,1683745739,824631444,2629065966
25,4292172745,3797219589,4189648754,2316106005,1512877652,1535901423,3936242273,2834598829,4193376502,1793828716
26,3883775136,400555678,3245741548,1071424747,2711794898,3800571018,2338806094,783409296,1338166292,3528296993
27,3278579262,2276523757,866258470,1558255577,2222726716,3962416053,3126231197,316456718,3667375968,34504686
28,1175938608,3531173897,3095362395,2354402176,2165687293,1381395151,305602778,1719561658,265555765,4288148584
29,902499663,2785599811,2226003312,4096703744,2885427110,3197546167,3770741383,2335529450,3261789554,2870117528
30,2740679378,566769150,2910899321,3569845617,143625628,4209364510,3213463547,2847637719,3616262206,4211159426
31,1970428309,3193129601,1052008939,304420265,2414621522,3841265999,3394234064,1281817642,3234135799,607362126
