,0
0,2506434498
1,811427419
2,1090210625
3,2708446424
4,2008197184
5,523587254
6,1487238151
7,2613272005
8,3779391075
9,2295126035
10,185195906
11,2409665051
12,1462375968
13,952592504
14,3635080907
15,1411866368
16,65079382
17,490022413
18,1807260085
19,2271960922
20,2554372844
21,3185550470
22,1985642974
23,4019731331
24,2903875560
25,4044467905
26,2616321409
27,448581938
28,258579857
29,707442425
30,4055587330
31,2021432808
32,2250069445
33,3434529357
34,4164972100
35,1730472255
36,3228875194
37,821035228
38,43654309
39,1028661067
40,4097689662
41,1642631581
42,715241446
43,223806384
44,1433409277
45,3778365520
46,1188638852
47,17162534
48,1755771308
49,2627172969
50,1997510667
51,356551322
52,92825744
53,457256157
54,1380422925
55,2860221114
56,1965149130
57,3672361965
58,3812390748
59,788651264
60,1661111220
61,111482028
62,3510734226
63,4119150174
64,666286590
65,1471751871
66,2040959044
67,1383270481
68,2596742729
69,978207034
70,343428862
71,3667670896
72,1763976913
73,2719246504
74,1329706706
75,2537848784
76,2339876741
77,300142980
78,2221436978
79,461762212
80,3387242310
81,4245853280
82,76416724
83,601849303
84,1613945553
85,333255483
86,2190724288
87,2586048682
88,614851001
89,2100297024
90,1389920909
91,4169322971
92,2175656801
93,4141687228
94,211538577
95,4240102583
96,2918600963
97,2632208055
98,3995026376
99,3682164715
100,4123825822
101,1196909972
102,3255635037
103,3905383994
104,299041198
105,2413421483
106,2296163651
107,3939689321
108,2043138640
109,3454428316
110,3126287261
111,159501350
112,4085395884
113,1606461850
114,2770574677
115,3743843675
116,1092860359
117,1079581706
118,1370354572
119,3435458267
120,3327309863
121,264649090
122,2464427149
123,3797165408
124,959776372
125,3783665077
126,3976300014
127,2009620707
128,2351354221
129,833314316
130,2732627253
131,691843803
132,986097855
133,399904166
134,3623502052
135,2434100244
136,2383721420
137,753958360
138,2491057090
139,842948703
140,394133123
141,3212341832
142,4267324513
143,900752642
144,2245205937
145,3491720090
146,845598511
147,3969264560
148,154518559
149,2913280143
150,1767801012
151,4061481588
152,2473867963
153,4020549475
154,2502120581
155,1276650741
156,1853128123
157,1668793876
158,3545015834
159,2270405583
160,3745360307
161,2507452675
162,1450680477
163,1807406579
164,982830935
165,809404613
166,493025092
167,185320659
168,3426767553
169,2131997188
170,67088585
171,189332835
172,2227187495
173,3837216914
174,2397925852
175,1790324580
176,787307441
177,3159050428
178,430450042
179,366900563
180,158236375
181,538591383
182,895938196
183,1066108876
184,2373301681
185,1139733859
186,632358041
187,3190503457
188,3705355966
189,269829152
190,2137093933
191,3393211986
192,3235936899
193,16835601
194,2442514314
195,4279854606
196,3831396440
197,1912019483
198,1406291656
199,450151406
200,4244966415
201,3775817485
202,363019780
203,3888330825
204,2516483334
205,3381499312
206,947552871
207,1981791687
208,2833109733
209,4254103859
210,2931271166
211,3859805283
212,3530183119
213,100717200
214,2864852024
215,1823361993
216,3926625763
217,3117526212
218,534725635
219,3487477775
220,28009162
221,1467740920
222,932893647
223,3121919641
224,821151765
225,1761201863
226,1552332150
227,893193065
228,2776212523
229,2856614735
230,191593081
231,3710227118
232,2084060139
233,2962263011
234,3955958332
235,1489774763
236,3413345470
237,2314510077
238,2436808953
239,1105211331
240,1746833234
241,1653184449
242,1997754717
243,4050962443
244,3120783161
245,4282583148
246,2363598195
247,4020106799
248,3808881966
249,2783361999
250,2125670965
251,3341366200
252,1299224476
253,2700796464
254,2561189935
255,1765178518
256,1831093644
257,3424917246
258,2991121485
259,1685980177
260,1551440593
261,3382227017
262,1336039613
263,2011928184
264,4235522891
265,3881958994
266,4171688342
267,182250346
268,852968012
269,3280846626
270,977731095
271,1944530379
272,319593007
273,1963907644
274,2732722702
275,2808773492
276,4231075837
277,643815515
278,703035868
279,2947215982
280,2126970878
281,3995778443
282,2503227255
283,3578234345
284,2833001379
285,726334495
286,70148847
287,737631283
288,778731023
289,494831866
290,2085895222
291,3600662202
292,496258482
293,695047713
294,1145677193
295,2669862911
296,3759309665
297,3687822661
298,3561530263
299,674084661
300,2991040349
301,2584163452
302,1567217610
303,949078992
304,3263192797
305,3896559325
306,2974279540
307,2576347675
308,1035284442
309,2759745688
310,387148670
311,797394821
312,2051364357
313,1391864546
314,3676992520
315,2794825403
316,2492484947
317,3671280420
318,1686007925
319,2850457562
320,1132072123
321,4170351080
322,1767655434
323,2972913433
324,2863391916
325,1544158746
326,906098377
327,3374065009
328,2187438004
329,427004728
330,1826589377
331,4271224209
332,3199959343
333,1603428900
334,805924985
335,3292225109
336,3816421931
337,2811638956
338,3910087055
339,1905748869
340,4131767797
341,768750828
342,674208876
343,1019166391
344,2638929902
345,3433975271
346,3249015969
347,2300587086
348,1224856929
349,2504197810
350,501789239
351,2738770403
352,3865910912
353,1866264331
354,2619726342
355,3428171277
356,2966946571
357,335436779
358,3842518558
359,1115048132
360,1814823607
361,1588134435
362,844285574
363,2169552883
364,1595664274
365,118342145
366,2293623059
367,1188502350
368,3698064685
369,711473
370,1508001674
371,2584175519
372,995187553
373,4239832157
374,1659398487
375,1017324467
376,1750697457
377,3032899447
378,991140171
379,1640070621
380,2107229532
381,3440228132
382,1311488330
383,212890203
384,1742517615
385,1871123764
386,217056277
387,75056559
388,1385335248
389,983962039
390,3010567829
391,1067138187
392,853278889
393,1265816805
394,1076753056
395,133755433
396,2249899636
397,4107662415
398,2613052624
399,2825711383
400,1496841216
401,2862421362
402,2641922143
403,460957377
404,2643299852
405,881460129
406,63345097
407,4250538777
408,1931619040
409,472891013
410,3504306620
411,2677676125
412,725912041
413,3885860272
414,1253231664
415,1723620853
416,1814411120
417,1885730774
418,2050541560
419,4123514652
420,56166791
421,237842521
422,1855851703
423,2882766108
424,2294738027
425,2825352135
426,2851975033
427,3805291332
428,624150829
429,3031800142
430,2933357461
431,1787281969
432,2391440114
433,744430029
434,2019324220
435,1361897528
436,3704159619
437,3917315540
438,3076357967
439,1495476781
440,2726325142
441,1681183254
442,2504929737
443,2179656296
444,778433436
445,3394603312
446,3774992886
447,2199522538
448,684572035
449,601669602
450,2309505195
451,3426951327
452,2688748829
453,3618258537
454,1505625863
455,845451267
456,3756621865
457,3118296465
458,3896056386
459,1904767476
460,3532725137
461,762371129
462,2569541963
463,3537442234
464,1158334693
465,796712326
466,3816535170
467,1018943051
468,712773651
469,1122419903
470,1519078282
471,4245719102
472,4269170935
473,1637346725
474,2800594793
475,3774506053
476,325562284
477,4031734239
478,3822438651
479,733986237
480,427403912
481,161460310
482,1988283537
483,919649188
484,3013760792
485,45711408
486,2664917979
487,1665994396
488,3304074576
489,2932230275
490,958467922
491,1283606008
492,916039463
493,364302193
494,951646825
495,1520711234
496,3087343430
497,1584479454
498,2292299849
499,3179901922
500,1210136320
501,1214433478
502,3885636251
503,1183304438
504,555990208
505,837016059
506,1449802625
507,281048975
508,2070307572
509,2441225367
510,2074525412
511,2341521304
512,3392231733
513,3797083431
514,2520088972
515,2484242147
516,1364959879
517,3310642507
518,3094952900
519,2736618985
520,1754812527
521,1154942038
522,1231878977
523,2994963062
524,3767816334
525,4244960449
526,2709071821
527,1326677678
528,795164237
529,3213635173
530,990778765
531,697727010
532,2227302730
533,1499289051
534,1769794274
535,2094695490
536,3447166501
537,3671428717
538,1276678046
539,656735565
540,1798097363
541,760821150
542,3289703420
543,66494255
544,987868429
545,1621702744
546,3804320246
547,619125639
548,4040751165
549,1399401535
550,83753110
551,1315550359
552,432595944
553,1694408763
554,1264925455
555,2869068076
556,2016461833
557,712331571
558,516501284
559,766000818
560,390825416
561,2430850495
562,1187708848
563,1188685085
564,783369148
565,3662606471
566,1362337807
567,205644657
568,410205539
569,3628160652
570,599728515
571,2074286381
572,3737582992
573,1742760598
574,3971558476
575,2760505525
576,2656851241
577,3805809678
578,3384589577
579,2548571347
580,52098316
581,1575529978
582,409549413
583,528508058
584,4099040995
585,849149946
586,2785944819
587,1602729423
588,1120908694
589,707110564
590,2160100749
591,997070339
592,969302379
593,3820571621
594,3373784894
595,2559512543
596,2420566194
597,2539821483
598,214364788
599,1081139059
600,3994912305
601,3473765993
602,3093935898
603,1582884359
604,2672354061
605,2756422925
606,1889127456
607,2123466353
608,38982883
609,2329055688
610,1819321415
611,1174230968
612,4161748285
613,778769056
614,2284190337
615,1720076849
616,2809304341
617,3084599061
618,3982020517
619,4290751146
620,3527128531
621,3527496314
622,3891501293
623,811320096
624,736651174
625,1843739759
626,260360485
627,2783454632
628,474603706
629,1803226440
630,1133032814
631,3502518158
632,2061395236
633,2247088810
634,147728965
635,2681781730
636,12860123
