,0
0,2610071850
1,218897566
2,1195877035
3,2324394830
4,2071699403
5,3602707592
6,1387265891
7,1050061811
8,2029929049
9,1591279152
10,136543754
11,231255527
12,2721012198
13,1481645864
14,3304783465
15,2737164569
16,2577352233
17,2107078774
18,372000262
19,326550596
20,1844996115
21,2319415497
22,3316060655
23,1460803873
24,1932995049
25,1020864253
26,2835527932
27,4237273592
28,3690380910
29,3981889294
30,1506158919
31,249502931
32,1839574296
33,3654582204
34,524826813
35,3976286651
36,3833424038
37,1071030066
38,3804947176
39,1882211895
40,1138064448
41,4009727111
42,488427112
43,135672441
44,1553444983
45,578050609
46,870803202
47,3759794776
48,2446312984
49,2043913488
50,1217482155
51,70157951
52,3281617486
53,3190692096
54,3965900409
55,623625605
56,3591664436
57,2854217156
58,4096684452
59,2192734149
60,4133076542
61,3464891901
62,1215801251
63,3956341429
64,397927042
65,1316927068
66,241742394
67,1068134671
68,4061476113
69,334573219
70,4106912706
71,1760144373
72,1171976710
73,1107961233
74,3875355934
75,2710666978
76,2052255610
77,2604045967
78,4110926669
79,1240837632
80,938695736
81,443736695
82,916894646
83,3064097197
84,2601817993
85,479452308
86,164465497
87,1333078164
88,1066468828
89,1886838004
90,4029062446
91,3601338143
92,1188861347
93,498467789
94,3607426365
95,2165036217
96,2300610223
97,142062801
98,4117105231
99,165045041
100,1282240655
101,3876064481
102,1013050561
103,1649823704
104,3677316372
105,3476810879
106,611476702
107,4035075443
108,3842700976
109,423755409
110,3450564899
111,175824411
112,2910455155
113,2624515326
114,226822492
115,2339057829
116,3946781770
117,3072426924
118,3456943889
119,1111419654
120,1698379503
121,228710597
122,3738449967
123,3513659973
124,4090421901
125,671705407
126,146630179
127,4084487512
128,3114978868
129,191715438
130,2490449689
131,1295351727
132,4090375878
133,1213286993
134,1964229905
135,6340724
136,4232105260
137,451006268
138,2765248180
139,1125037153
140,3153184614
141,3773706584
142,3106219104
143,407085388
144,3741238784
145,2370439601
146,3911154169
147,84573280
148,3452179627
149,1511371007
150,1066999357
151,1511796887
152,3396268485
153,150674751
154,1757338959
155,2495668838
156,3841036117
157,625755163
158,1487638165
159,204760509
160,75855047
161,1161459924
162,856107665
163,3517265445
164,175881645
165,1574875919
166,2121630233
167,2480304312
168,491691881
169,598146822
170,2664296608
171,2705304440
172,2216054574
173,1375080279
174,3851525829
175,1895525340
176,2657907859
177,3434634884
178,3012167464
179,3652319727
180,3813968162
181,1878587440
182,2070182863
183,138232055
184,1082362925
185,122041576
186,389352652
187,2204694346
188,1470814140
189,3272245645
190,2407345361
191,244700113
192,4170625755
193,83955381
194,4089856964
195,1508574988
196,3892030571
197,758426682
198,794339547
199,2979940898
200,3242599682
201,319025837
202,3569574435
203,1118706094
204,1592367150
205,2359305703
206,851839604
207,2330379101
208,2469449973
209,2590569090
210,2699475840
211,3013525384
212,2671907753
213,2950980176
214,1178534976
215,3495441669
216,3735933640
217,1016406764
218,794787708
219,725140710
220,687018334
221,284501396
222,306551237
223,606932854
224,3378849047
225,2232598086
226,3369955174
227,1266533791
228,71396596
229,3963038317
230,4091025939
231,585800041
232,1110487218
233,1128487580
234,1874558569
235,2061277728
236,4105281566
237,3490926512
238,1908992438
239,753680712
240,239300305
241,395421975
242,1406058096
243,1446153861
244,1709200865
245,1663418739
246,874950008
247,1774859270
248,1785442691
249,1407505510
250,3051673986
251,2330801224
252,2325568679
253,2263945861
254,3991962222
255,1662972421
256,2692753263
257,1345369308
258,1113938275
259,2704696494
260,3069332527
261,2566584609
262,1916787440
263,2736197579
264,4054071996
265,4044489471
266,1738562641
267,3977553834
268,637923297
269,1479001107
270,711838306
271,915563176
272,3655651785
273,1062911920
274,2635978826
275,4268430394
276,3583671533
277,1835254093
278,2008234982
279,3369460401
280,1777371954
281,600940813
282,1748423399
283,3710134493
284,3605260344
285,2179901179
286,11502753
287,3259803461
288,1762554652
289,1213676409
290,1029496555
291,2124455273
292,1030937124
293,2747437275
294,2865473273
295,1749836865
296,1204552768
297,2930655361
298,375850242
299,2228818369
300,3109001757
301,3683916949
302,2375320918
303,3692002802
304,601483174
305,1451806300
306,268183328
307,182320114
308,1385685825
309,2426810215
310,1877406163
311,3134359167
312,3962205717
313,1948741779
314,565935219
315,280071068
316,1298049598
317,3011842239
318,3214919787
319,2542148703
320,3488065374
321,1501371439
322,1238581212
323,3411483196
324,2114943369
325,1456409109
326,2699426669
327,2915155901
328,1197997488
329,1670427204
330,3762645988
331,4038186380
332,3967375089
333,934462940
334,3911004162
335,147630543
336,3401140131
337,1735232366
338,4022284021
339,277659538
340,3896636836
341,3417615100
342,272094747
343,723359898
344,3251950921
345,71884639
346,2309737903
347,18331680
348,1399693017
349,278087634
350,948776478
351,3575905454
352,1122620364
353,857534919
354,1628784041
355,2151559870
356,150788556
357,3310701206
358,283976148
359,3136068535
360,2613057601
361,1809498849
362,3502599081
363,820232230
364,1477608742
365,940501606
366,2218693579
367,149211220
368,3656909759
369,2751730049
370,3634615697
371,1436197429
372,2330821054
373,3165182329
374,4037719316
375,1814873657
376,1690777729
377,924794190
378,4206495251
379,3640839409
380,3310306277
381,1597729655
382,3595641828
383,2319685236
