,0,1,2,3,4,5
0,3401342047,253958575,782428714,4222446361,393339544,2205034012
1,4011904441,2816811747,657188060,3001937820,30642739,1502879084
2,1946032134,1090668035,882492892,1889027268,301969695,725005365
3,2569285453,2752238716,3227349600,3779039517,606305887,2907640798
4,1508338127,1572233938,476887714,692240052,2406968713,3601369180
5,2576270799,120643356,2733490992,2677160792,2515511825,1940285569
6,35451157,185366808,1147361962,2293052089,1373689129,317717358
7,3316281743,2024870203,4121373718,1516543451,2249533907,3128531225
8,3246356726,1486099045,269177439,1329569844,1470509455,2466336173
9,4046240356,4245013506,512666037,1203322714,2811857640,4270485590
10,3100010639,3046964507,769677851,445196122,108789994,417696023
11,2762514811,886481901,2288200752,1495886994,982016648,3253094898
12,3975703880,2449554355,1387736371,844107114,41521929,1220312538
13,1218271499,884233846,1427291475,883775622,2646449119,760069540
14,2740381652,1629839914,144176289,2080064490,2414316268,1965260400
15,1843178939,1315754250,3239207891,1714948628,612057977,2493204170
16,711700751,3437619589,46459193,153863097,1981331062,2492124222
17,4137937622,352879963,1390499533,603710748,1782060026,2304724171
18,410439818,3840636923,4197232686,3185888563,1675064602,425086489
19,1723379000,2192433302,4201539820,1201518490,1478634155,1896468606
20,2608944912,365320602,562012916,4223901328,1869971548,2435820613
21,2842568668,3310498540,1136685644,2949310031,2284715605,884255362
22,3597388523,157823995,2112375651,1916024056,588804799,4033300431
23,1394104213,67945858,4244355466,3264942681,3181602775,2588686772
24,1086860522,474316082,487456974,3447850129,2968009380,3807130390
25,74013172,2969423182,3348827946,2619719491,1913257995,2408929018
26,3588091092,2437366485,330044668,328633849,412402953,2492534360
27,2131233368,2811954798,3286915768,2494363284,2171038376,1616718213
28,2521434450,2259618622,3299887859,838076114,3228467351,2137563573
29,2275103698,3116456591,2455928617,2707353013,3956285831,2059496735
30,285398928,4056973464,1021974235,3946261418,1133287372,1566144650
31,3278584588,581943362,3736095203,2653553975,1677555808,53409099
32,1057198018,1968672598,2065141023,1971146758,3765065550,100480095
33,3378075719,542978516,2177257997,2747536807,1246337912,3906773308
34,219196308,3570517342,2998774450,3345213815,3437376989,472668815
35,150792170,1884331178,1716201551,577018760,1859413250,520788570
36,4209669468,1108176841,2665123351,1398335279,2493953955,3340048164
37,4294178296,4225581447,3171696285,2179819328,556002255,1363369229
38,3641059812,2550437505,1147074165,1039551136,3610904718,2730024355
39,907348699,3889676570,2756210161,2635381271,3700115106,492963057
40,2213538389,3410715109,2611516237,2452628271,3426173949,874028067
41,256869676,4272225268,3828110714,1962810503,3205404104,1013480596
42,3842678320,3765039326,572187505,3692955017,1941845896,3354903951
43,2790832743,3755553354,737123895,3627206924,2594500684,994695670
44,1546482471,2336022262,3623742149,3352726280,4278101044,2615283234
45,249607981,3547653117,648107632,76839865,3873470828,1207194381
